id,make,model,year,cylinders,engine_displacement,drive,fuel_type,fuel_cost,fuel_type1,transmission,vehicle_size_class,you_save_spend,annual_petroleum_consumption,fetch_date,fiyat
31380,Chrysler,200,2012,6,3.6,Front-Wheel Drive,Gasoline or E85,2450,Regular Gasoline,Automatic 6-spd,Midsize Cars,-2750,13.5232,2024-11-13 00:04:23,77064.00
32560,Audi,A5 quattro,2013,4,2,All-Wheel Drive,Premium,2600,Premium Gasoline,Manual 6-spd,Subcompact Cars,-3500,11.4427,2024-11-13 00:04:23,72062.00
34288,Mazda,3 5-Door,2014,4,2.5,Front-Wheel Drive,Regular,1700,Regular Gasoline,Automatic (S6),Midsize Cars,1000,9.29719,2024-11-13 00:04:23,46994.00
35154,Fiat,500,2015,4,1.4,Front-Wheel Drive,Premium,2300,Premium Gasoline,Automatic 6-spd,Minicompact Cars,-2000,10.259,2024-11-12 23:34:21,81246.00
35779,Lexus,GS 450h,2015,6,3.5,Rear-Wheel Drive,Premium,2150,Premium Gasoline,Automatic (AV-S8),Midsize Cars,-1250,9.5971,2024-11-12 23:34:21,84165.00
3721,Ford,F250 Pickup 2WD,1987,6,4.9,Rear-Wheel Drive,Regular,3600,Regular Gasoline,Manual 4-spd,Standard Pickup Trucks,-8500,19.834,2024-11-12 23:34:21,50524.00
2726,GMC,G15/25 Rally 2WD,1986,8,5.7,Rear-Wheel Drive,Regular,4150,Regular Gasoline,Automatic 4-spd,Vans,-11250,22.8854,2024-11-12 23:34:21,89549.00
1175,Mazda,RX-7,1985,2,1.1,Rear-Wheel Drive,Regular,3150,Regular Gasoline,Automatic 4-spd,Two Seaters,-6250,17.5006,2024-11-12 23:34:21,71229.00
1375,Oldsmobile,Cutlass Supreme,1985,6,3.8,Rear-Wheel Drive,Regular,3000,Regular Gasoline,Automatic 3-spd,Midsize Cars,-5500,16.5283,2024-11-12 23:34:21,70031.00
1631,GMC,C15 Suburban 2WD,1985,8,6.2,Rear-Wheel Drive,Diesel,3150,Diesel,Automatic 4-spd,Special Purpose Vehicle 2WD,-6250,19.8442,2024-11-12 23:34:21,84415.00
1882,Plymouth,Colt,1986,4,1.6,Front-Wheel Drive,Premium,2800,Premium Gasoline,Manual 5-spd,Subcompact Cars,-4500,12.3962,2024-11-12 23:34:21,72043.00
37647,GMC,Sierra C15 2WD,2017,6,4.3,Rear-Wheel Drive,Gasoline or E85,2700,Regular Gasoline,Automatic 6-spd,Standard Pickup Trucks 2WD,-4000,14.8755,2024-11-12 23:34:21,36688.00
37974,Volkswagen,Jetta,2017,4,2,Front-Wheel Drive,Regular,2000,Regular Gasoline,Automatic (AM-S6),Compact Cars,-500,11.0189,2024-11-12 23:34:21,35044.00
41298,Hyundai,Elantra,2020,4,2,Front-Wheel Drive,Regular,1600,Regular Gasoline,Automatic (variable gear ratios),Midsize Cars,1500,8.75029,2024-11-12 23:34:21,71809.00
41463,Genesis,G80 RWD,2020,8,5,Rear-Wheel Drive,Premium,3550,Premium Gasoline,Automatic (S8),Large Cars,-8250,15.6584,2024-11-12 23:34:21,38154.00
41468,Ford,Transit Connect Van 2WD,2020,4,2,Front-Wheel Drive,Regular,2150,Regular Gasoline,Automatic (S8),Special Purpose Vehicle 2WD,-1250,11.9004,2024-11-12 23:34:21,86936.00
41912,Lexus,ES 350 F Sport,2020,6,3.5,Front-Wheel Drive,Regular,2150,Regular Gasoline,Automatic (S8),Midsize Cars,-1250,11.9004,2024-11-12 23:34:21,37578.00
4194,Audi,80/90 quattro,1988,5,2.3,4-Wheel or All-Wheel Drive,Regular,3000,Regular Gasoline,Manual 5-spd,Subcompact Cars,-5500,16.5283,2024-11-12 23:34:21,40431.00
42023,Rolls-Royce,Ghost EWB,2020,12,6.6,Rear-Wheel Drive,Premium,4800,Premium Gasoline,Automatic (S8),Large Cars,-14500,21.2507,2024-11-12 23:34:21,67178.00
42307,Kia,Niro,2020,4,1.6,Front-Wheel Drive,Regular,1100,Regular Gasoline,Automatic (AM6),Small Station Wagons,4000,6.07163,2024-11-12 23:34:21,74705.00
4358,Yugo,GV,1988,4,1.1,Front-Wheel Drive,Regular,2050,Regular Gasoline,Manual 4-spd,Subcompact Cars,-750,11.4427,2024-11-12 23:34:21,62056.00
43711,Ford,Edge FWD,2021,4,2,Front-Wheel Drive,Regular,2250,Regular Gasoline,Automatic 8-spd,Small Sport Utility Vehicle 2WD,-1750,12.3962,2024-11-12 23:34:21,73568.00
44783,Audi,RS e-tron GT,2022,NULL,NULL,All-Wheel Drive,Electricity,950,Electricity,Automatic (A2),Midsize Cars,4750,0.1008,2024-11-12 23:34:21,63930.00
46245,Bentley,Flying Spur Hybrid,2023,6,2.9,All-Wheel Drive,Premium and Electricity,3550,Premium Gasoline,Automatic (AM-S8),Midsize Cars,-3750,8.39121,2024-11-12 23:34:21,79194.00
46384,Ford,Edge AWD,2023,6,2.7,All-Wheel Drive,Regular,2550,Regular Gasoline,Automatic (S8),Small Sport Utility Vehicle 4WD,-3250,14.1671,2024-11-12 23:34:21,62199.00
46846,GMC,Sierra 4WD,2024,8,5.3,4-Wheel Drive,Regular,3150,Regular Gasoline,Automatic 10-spd,Standard Pickup Trucks 4WD,-6250,17.5006,2024-11-12 23:34:21,89804.00
47676,Bentley,Bentayga EWB,2024,8,4,All-Wheel Drive,Premium,4200,Premium Gasoline,Automatic (S8),Standard Sport Utility Vehicle 4WD,-11500,18.5944,2024-11-12 23:34:21,66339.00
4888,GMC,C15 Pickup 2WD,1988,6,4.3,Rear-Wheel Drive,Regular,3350,Regular Gasoline,Manual 4-spd,Standard Pickup Trucks,-7250,18.5944,2024-11-12 23:34:21,86906.00
6933,Subaru,Loyale Wagon,1990,4,1.8,Front-Wheel Drive,Regular,2700,Regular Gasoline,Automatic 3-spd,Small Station Wagons,-4000,14.8755,2024-11-12 23:34:21,69404.00
38677,Lexus,LC 500h,2018,6,3.5,Rear-Wheel Drive,Premium,2250,Premium Gasoline,Automatic (AV-S10),Subcompact Cars,-1750,9.917,2024-11-12 23:34:21,81592.00
3890,Ford,E150 Econoline 2WD,1987,8,5,Rear-Wheel Drive,Regular,3850,Regular Gasoline,Automatic 4-spd,Vans,-9750,21.2507,2024-11-12 23:34:21,41857.00
39401,Lincoln,Continental  FWD,2018,6,3.7,Front-Wheel Drive,Regular,2700,Regular Gasoline,Automatic (S6),Large Cars,-4000,14.8755,2024-11-12 23:34:21,76213.00
39457,Mercedes-Benz,Metris (Passenger Van),2018,4,2,Rear-Wheel Drive,Premium,3200,Premium Gasoline,Automatic 7-spd,Special Purpose Vehicle 2WD,-6500,14.1671,2024-11-12 23:34:21,77300.00
40024,MINI,John Cooper Works Clubman All4,2019,4,2,All-Wheel Drive,Premium,2800,Premium Gasoline,Manual 6-spd,Midsize Cars,-4500,12.3962,2024-11-12 23:34:21,45617.00
